,game_id,original_event_id,period_id,time_seconds,team_id,player_id,start_x,end_x,start_y,end_y,type_id,result_id,bodypart_id,action_id,type_name,result_name,bodypart_name,scores,concedes,offensive_value,defensive_value,vaep_value,xT_value
0,2124863,2208931485,1,1.0,9669,96521.0,52.605,73.395,34.0,26.86,0,1,0,0,pass,success,foot,0.0033806763,0.0058825435,0.0,-0.0,0.0,0.005652870806981946
1,2124863,,1,2.5,9669,421766.0,73.395,79.065,26.86,24.14,21,1,0,1,dribble,success,foot,0.0035264182,0.0049136896,0.00014574197,0.00096885394,0.0011145959,0.0034251000987854715
2,2124863,2208931491,1,4.0,9669,421766.0,79.065,79.59,24.14,45.9,0,1,0,2,pass,success,foot,0.008773152,0.003995009,0.0052467333,0.00091868034,0.0061654137,0.005622938011972459
3,2124863,2208931495,1,9.0,9669,208367.0,78.645,85.89,46.92,32.775999999999996,0,1,0,3,pass,success,foot,0.004822677,0.005999124,-0.003950475,-0.002004115,-0.0059545897,0.030585561207576946
4,2124863,2208931513,1,11.0,9669,132185.0,85.89,83.265,32.775999999999996,19.04,0,1,0,4,pass,success,foot,0.0037613914,0.0017154947,-0.0010612856,0.0042836294,0.0032223437,-0.02499020683558953
5,2124863,,1,13.5,9669,421766.0,83.265,72.975,19.04,5.167999999999999,21,1,0,5,dribble,success,foot,0.0086394185,0.0024263244,0.0048780274,-0.00071082974,0.0041671977,-0.006591868470875001
6,2124863,2208931515,1,16.0,9669,421766.0,72.975,54.705000000000005,5.167999999999999,2.176000000000002,0,1,0,6,pass,success,foot,0.010805745,0.00019020302,0.0021663262,0.0022361213,0.0044024475,-0.0023657687771191814
7,2124863,,1,17.0,9669,132503.0,54.705000000000005,49.245,2.176000000000002,2.3119999999999976,21,1,0,7,dribble,success,foot,0.007277718,0.0003335165,-0.0035280269,-0.00014331349,-0.0036713404,0.00047663593154826257
9,2124863,2208931543,1,22.0,6272,209831.0,36.224999999999994,7.770000000000001,26.588,36.448,0,1,0,9,pass,success,foot,0.0014449814,0.00764025,-4.927744e-06,-0.00066632405,-0.0006712518,0.0481201377161361
10,2124863,,1,23.5,6272,174571.0,7.770000000000001,14.490000000000002,36.448,39.303999999999995,21,1,0,10,dribble,success,foot,0.0008281833,0.0072945277,-0.0006167981,0.0003457223,-0.0002710758,-0.040773765802883735
11,2124863,2208931557,1,25.0,6272,174571.0,14.490000000000002,29.819999999999997,39.303999999999995,59.364,0,1,0,11,pass,success,foot,0.0029994023,0.0067630084,0.002171219,0.0005315193,0.0027027384,-0.005934967483487817
12,2124863,,1,26.5,6272,165678.0,29.819999999999997,35.175000000000004,59.364,62.62799999999999,21,1,0,12,dribble,success,foot,0.009002612,0.001020046,0.0060032094,0.0057429625,0.011746172,-0.0028691901416314173
13,2124863,2208931575,1,28.0,6272,165678.0,35.175000000000004,50.82,62.62799999999999,65.484,0,1,0,13,pass,success,foot,0.008133682,0.00023877768,-0.00086892955,0.0007812683,-8.766126e-05,-0.00242953951358014
14,2124863,,1,29.5,6272,96373.0,50.82,56.910000000000004,65.484,64.19200000000001,21,1,0,14,dribble,success,foot,0.007277718,0.0003335165,-0.0008559646,-9.473883e-05,-0.00095070346,-0.000977442277364334
16,2124863,2208931599,1,35.0,9669,114407.0,63.73500000000001,88.725,60.316,50.116,0,1,0,16,pass,success,foot,0.002995102,0.0062414454,0.0024136843,-0.0035940122,-0.001180328,0.008162303000972409
